,originalpreis,salepreis,porduktname
0,"299,00 ","177,90 ",                Maxikleid mit Smokdetails            
1,"249,00 ","148,90 ",                Kleid mit Mustermix            
2,"299,00 ","177,90 ",                Maxikleid mit Smokdetails            
3,"399,00 ","239,00 ",                Fil-Coup̩-Kleid aus Seiden-Viskose-Mix            
4,"469,00 ","281,00 ",                Plissee-Kleid Knitted in Germany            
5,"379,00 ","227,00 ",                Leo-Kleid Knitted in Germany            
6,"379,00 ","227,00 ",                Devor̩-Kleid mit Leo-Print            
7,"279,00 ","166,90 ",                Kleid Knitted in Germany            
8,"299,00 ","177,90 ",                Jerseykleid mit Blumen-Print            
9,"549,00 ","329,00 ",                Stufenkleid aus Viskose-Seiden-Mix            
